Date,CPIH,Unemployment,Employment,GDP,Money,Bank_Rate,EOI,JW2P,GVHE,ANSC
01/12/2021,4.8,4,75.4,1.5,95474,0.1,-27,8851,293,343
01/01/2022,4.9,3.8,75.5,0.5,95711,0.25,-29,6696,310,365
01/02/2022,5.5,3.7,75.6,0.5,95789,0.25,,8782,311,366
01/03/2022,6.2,3.8,75.6,0.5,95029,0.5,-62,4386,323,378
01/04/2022,7.8,3.8,75.9,0.1,95273,0.75,-56,7488,514,577
01/05/2022,7.9,3.8,75.5,0.1,95265,0.75,-57,8970,540,603
01/06/2022,8.2,3.6,75.4,0.1,95014,1,-64,21214,569,631
01/07/2022,8.8,3.5,75.5,-0.1,94982,1.25,-53,7437,619,696
01/08/2022,8.6,3.6,75.5,-0.1,94965,1.25,,10080,642,719
01/09/2022,8.8,3.7,75.6,-0.1,94865,1.75,-56,9653,671,749
01/10/2022,9.6,3.7,75.6,0.1,94737,2.25,-54,8009,724,823
01/11/2022,9.3,3.7,75.6,0.1,94668,2.25,-56,9817,728,827
01/12/2022,9.2,3.7,75.7,0.1,94486,3,-55,20637,768,866
01/01/2023,8.8,3.8,75.8,0.3,94023,3.5,-33,10383,830,929
01/02/2023,9.2,3.9,75.9,0.3,93989,3.5,-38,10925,831,930
01/03/2023,8.9,3.8,76,0.3,93977,4,-36,5243,872,970
01/04/2023,7.8,4,76,0,94130,4.25,,12945,982,1093
01/05/2023,7.9,4.2,75.7,0,94420,4.25,-30,11301,1031,1142
01/06/2023,7.3,4.2,75.7,0,94112,4.5,-37,16670,1054,1166
01/07/2023,6.4,4.2,75.7,-0.1,94006,5,-27,11514,1232,1362
01/08/2023,6.3,4.2,75.7,-0.1,93972,5,,9363,1336,1466
01/09/2023,6.3,4.2,75.7,-0.1,93975,5.25,-35,4374,1346,1477
